date,pnl
2025-02-18,0.0103374971095758
2025-02-19,-0.0008213387537361
2025-02-20,-0.0102981027267194
2025-02-21,-0.0202921243404486
2025-02-24,-0.0042864478560124
2025-02-25,-0.0059807114962518
2025-02-26,0.0023105627142769
2025-02-27,-0.0106551934228517
2025-02-28,0.0126384883189662
2025-03-03,-0.006321775228266
2025-03-04,-0.0133841285759814
2025-03-05,0.0076308976577511
2025-03-06,-0.0127789878744991
2025-03-07,0.0101510082810091
2025-03-10,-0.0097677358841456
2025-03-11,-0.0129698504521953
2025-03-12,-0.0066311068319702
2025-03-13,-0.0032407727825728
2025-03-14,0.0175544176323682
2025-03-17,0.0147276879599799
2025-03-18,-0.0051410045663104
2025-03-19,0.0050867624720795
2025-03-20,-0.0010926561497489
2025-03-21,-0.0026998754250145
2025-03-24,0.0132336955347981
2025-03-25,1.841831844747265e-05
2025-03-26,-0.0040291447097135
2025-03-27,0.0003261514466475
2025-03-28,-0.011436487751985
2025-03-31,0.0084638072141855
2025-04-01,0.0024807358042534
2025-04-02,0.0053666708172126
2025-04-03,-0.0147462961938354
2025-04-04,-0.0576265036865125
2025-04-07,-0.0118001926845956
2025-04-08,-0.0087299575906617
2025-04-09,0.0581756756335332
2025-04-10,-0.0099698650148231
2025-04-11,0.020583704062706
2025-04-14,0.0099977002305471
2025-04-15,-0.0005667917434176
2025-04-16,-0.009664489021265
2025-04-17,0.0033697547446777
2025-04-18,0.0
2025-04-21,-0.020551413687249
2025-04-22,0.0238092687153813
2025-04-23,0.0088952793151712
2025-04-24,0.0184000279994524
2025-04-25,0.0048092968729532
2025-04-28,0.0027882119437991
2025-04-29,0.0086936024360599
2025-04-30,0.0042197357392298
2025-05-01,0.0020727572416846
2025-05-02,0.0188701652300132
