market_sector,total_pnl,avg_gross_weight,days,attribution_sector_run_date
Basic Materials,-34400.6115571628,0.0035333195967557,24786,2026-01-23 16:39:11 UTC
Communication Services,-38655.44471305267,0.004002234116821,32468,2026-01-23 16:39:11 UTC
Consumer Cyclical,-133168.24313062153,0.0038475871521135,72856,2026-01-23 16:39:11 UTC
Consumer Defensive,107020.28099753927,0.0032572230843913,48846,2026-01-23 16:39:11 UTC
Energy,210107.3180394355,0.0035036866957238,28611,2026-01-23 16:39:11 UTC
Financial Services,283432.0098337822,0.0033596257246139,89581,2026-01-23 16:39:11 UTC
Healthcare,-120566.33281897906,0.0037140302143462,78044,2026-01-23 16:39:11 UTC
Industrials,10083.744251491546,0.0034344874491587,93446,2026-01-23 16:39:11 UTC
Real Estate,272677.510498184,0.0031454941539235,40331,2026-01-23 16:39:11 UTC
Technology,-595035.51534405,0.0039481971481371,113666,2026-01-23 16:39:11 UTC
Unknown,0.1249095303271827,3.021962335813978e-07,1301,2026-01-23 16:39:11 UTC
Utilities,38638.6670960919,0.0029104543065324,40075,2026-01-23 16:39:11 UTC
