market_sector,total_pnl,avg_gross_weight,days
Basic Materials,-34400.6115571628,0.003533319596755786,24786
Communication Services,-38655.44471305267,0.004002234116821082,32468
Consumer Cyclical,-133168.24313062153,0.0038475871521135804,72856
Consumer Defensive,107020.28099753927,0.0032572230843913564,48846
Energy,210107.3180394355,0.00350368669572382,28611
Financial Services,283432.0098337822,0.0033596257246139736,89581
Healthcare,-120566.33281897906,0.003714030214346241,78044
Industrials,10083.744251491546,0.0034344874491587466,93446
Real Estate,272677.510498184,0.0031454941539235024,40331
Technology,-595035.51534405,0.003948197148137188,113666
Unknown,0.12490953032718276,3.021962335813978e-07,1301
Utilities,38638.6670960919,0.0029104543065324325,40075
